"Plot Title: 20052699 PILOT"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20052699, SEN S/N: 20052699, LBL: Temp_414a)","RH, % (LGR S/N: 20052699, SEN S/N: 20052699, LBL: RH_414a)","CO2, ppm (LGR S/N: 20052699, SEN S/N: 20052699, LBL: CO2_414a)","Stopped (LGR S/N: 20052699)","End Of File (LGR S/N: 20052699)"
1,01/09/23 01:00:00 PM,69.514,100.000,646,,
2,01/09/23 01:00:01 PM,69.600,100.000,641,,
3,01/09/23 01:00:02 PM,69.643,100.000,639,,
4,01/09/23 01:00:03 PM,69.557,100.000,631,,
5,01/09/23 01:00:04 PM,69.600,100.000,623,,
6,01/09/23 01:00:05 PM,69.600,100.000,623,,
7,01/09/23 01:00:06 PM,69.643,100.000,620,,
8,01/09/23 01:00:07 PM,69.557,100.000,623,,
9,01/09/23 01:00:08 PM,69.557,100.000,620,,
10,01/09/23 01:00:09 PM,69.600,100.000,617,,
11,01/09/23 01:00:10 PM,69.643,100.000,615,,
12,01/09/23 01:00:11 PM,69.643,100.000,617,,
13,01/09/23 01:00:12 PM,69.600,100.000,612,,
14,01/09/23 01:00:13 PM,69.600,100.000,615,,
15,01/09/23 01:00:14 PM,69.600,100.000,620,,
16,01/09/23 01:00:15 PM,69.557,100.000,615,,
17,01/09/23 01:00:16 PM,69.557,100.000,617,,
18,01/09/23 01:00:17 PM,69.557,100.000,615,,
19,01/09/23 01:00:18 PM,69.600,100.000,607,,
20,01/09/23 01:00:19 PM,69.600,100.000,595,,
21,01/09/23 01:00:20 PM,69.600,100.000,593,,
22,01/09/23 01:00:21 PM,69.557,100.000,588,,
23,01/09/23 01:00:22 PM,69.643,100.000,585,,
24,01/09/23 01:00:23 PM,69.600,100.000,585,,
25,01/09/23 01:00:24 PM,69.600,100.000,580,,
26,01/09/23 01:00:25 PM,69.600,100.000,583,,
27,01/09/23 01:00:26 PM,69.643,100.000,588,,
28,01/09/23 01:00:27 PM,69.643,100.000,593,,
29,01/09/23 01:00:28 PM,69.600,100.000,590,,
30,01/09/23 01:00:29 PM,69.643,100.000,603,,
31,01/09/23 01:00:30 PM,69.557,100.000,615,,
32,01/09/23 01:00:31 PM,69.600,100.000,615,,
33,01/09/23 01:00:32 PM,69.600,100.000,617,,
34,01/09/23 01:00:33 PM,69.600,100.000,623,,
35,01/09/23 01:00:34 PM,69.600,100.000,625,,
36,01/09/23 01:00:35 PM,69.600,100.000,631,,
37,01/09/23 01:00:36 PM,69.600,100.000,646,,
38,01/09/23 01:00:37 PM,69.600,100.000,660,,
39,01/09/23 01:00:38 PM,69.600,100.000,673,,
40,01/09/23 01:00:39 PM,69.600,100.000,684,,
41,01/09/23 01:00:40 PM,69.643,100.000,687,,
42,01/09/23 01:00:41 PM,69.643,100.000,684,,
43,01/09/23 01:00:42 PM,69.600,100.000,684,,
44,01/09/23 01:00:43 PM,69.643,100.000,687,,
45,01/09/23 01:00:44 PM,69.600,100.000,692,,
46,01/09/23 01:00:45 PM,69.557,100.000,695,,
47,01/09/23 01:00:46 PM,69.600,100.000,706,,
48,01/09/23 01:00:47 PM,69.600,100.000,709,,
49,01/09/23 01:00:48 PM,69.600,100.000,704,,
