"Plot Title: EH263-H15"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20460581, SEN S/N: 20460581, LBL: Temp_H15)","RH, % (LGR S/N: 20460581, SEN S/N: 20460581, LBL: RH_H15)","End Of File (LGR S/N: 20460581)"
1,01/09/23 01:00:00 PM,71.017,47.522,
2,01/09/23 01:00:01 PM,71.017,47.522,
3,01/09/23 01:00:02 PM,71.017,47.522,
4,01/09/23 01:00:03 PM,71.017,47.490,
5,01/09/23 01:00:04 PM,71.060,47.493,
6,01/09/23 01:00:05 PM,71.060,47.461,
7,01/09/23 01:00:06 PM,71.060,47.461,
8,01/09/23 01:00:07 PM,71.017,47.427,
9,01/09/23 01:00:08 PM,71.060,47.430,
10,01/09/23 01:00:09 PM,71.060,47.430,
11,01/09/23 01:00:10 PM,71.060,47.461,
12,01/09/23 01:00:11 PM,71.060,47.493,
13,01/09/23 01:00:12 PM,71.060,47.016,
14,01/09/23 01:00:13 PM,71.060,46.602,
15,01/09/23 01:00:14 PM,71.060,46.346,
16,01/09/23 01:00:15 PM,71.060,45.995,
17,01/09/23 01:00:16 PM,71.060,45.548,
18,01/09/23 01:00:17 PM,71.060,45.163,
19,01/09/23 01:00:18 PM,71.060,44.811,
20,01/09/23 01:00:19 PM,71.060,44.490,
21,01/09/23 01:00:20 PM,71.060,44.137,
22,01/09/23 01:00:21 PM,71.060,43.912,
23,01/09/23 01:00:22 PM,71.060,43.719,
24,01/09/23 01:00:23 PM,71.060,43.526,
25,01/09/23 01:00:24 PM,71.060,43.300,
26,01/09/23 01:00:25 PM,71.060,43.107,
27,01/09/23 01:00:26 PM,71.103,43.045,
28,01/09/23 01:00:27 PM,71.060,43.236,
29,01/09/23 01:00:28 PM,71.060,43.429,
30,01/09/23 01:00:29 PM,71.060,43.461,
31,01/09/23 01:00:30 PM,71.060,43.461,
32,01/09/23 01:00:31 PM,71.060,43.429,
33,01/09/23 01:00:32 PM,71.060,43.365,
34,01/09/23 01:00:33 PM,71.060,43.365,
35,01/09/23 01:00:34 PM,71.060,43.300,
36,01/09/23 01:00:35 PM,71.060,43.236,
37,01/09/23 01:00:36 PM,71.060,43.010,
38,01/09/23 01:00:37 PM,71.060,42.752,
39,01/09/23 01:00:38 PM,71.060,42.655,
40,01/09/23 01:00:39 PM,71.060,42.558,
41,01/09/23 01:00:40 PM,71.060,42.461,
42,01/09/23 01:00:41 PM,71.060,42.332,
43,01/09/23 01:00:42 PM,71.060,42.300,
44,01/09/23 01:00:43 PM,71.060,42.300,
45,01/09/23 01:00:44 PM,71.060,42.332,
46,01/09/23 01:00:45 PM,71.060,42.332,
47,01/09/23 01:00:46 PM,71.060,42.300,
48,01/09/23 01:00:47 PM,71.060,42.300,
49,01/09/23 01:00:48 PM,71.060,42.268,
50,01/09/23 01:00:49 PM,71.060,42.171,
51,01/09/23 01:00:50 PM,71.060,42.009,
52,01/09/23 01:00:51 PM,71.060,41.815,
53,01/09/23 01:00:52 PM,71.060,41.621,
54,01/09/23 01:00:53 PM,71.060,41.426,
55,01/09/23 01:00:54 PM,71.060,41.297,
56,01/09/23 01:00:55 PM,71.060,41.232,
57,01/09/23 01:00:56 PM,71.060,41.167,
58,01/09/23 01:00:57 PM,71.060,41.102,
59,01/09/23 01:00:58 PM,71.060,41.005,
60,01/09/23 01:00:59 PM,71.060,40.907,
61,01/09/23 01:01:00 PM,71.060,40.745,
62,01/09/23 01:01:01 PM,71.060,40.518,
63,01/09/23 01:01:02 PM,71.060,40.388,
64,01/09/23 01:01:03 PM,71.060,40.258,
65,01/09/23 01:01:04 PM,71.060,40.193,
66,01/09/23 01:01:05 PM,71.060,40.128,
67,01/09/23 01:01:06 PM,71.060,40.128,
68,01/09/23 01:01:07 PM,71.060,40.258,
69,01/09/23 01:01:08 PM,71.060,40.290,
70,01/09/23 01:01:09 PM,71.060,40.258,
71,01/09/23 01:01:10 PM,71.060,40.258,
72,01/09/23 01:01:11 PM,71.060,40.128,
73,01/09/23 01:01:12 PM,71.060,39.932,
74,01/09/23 01:01:13 PM,71.060,39.737,
75,01/09/23 01:01:14 PM,71.060,39.607,
76,01/09/23 01:01:15 PM,71.017,39.474,
77,01/09/23 01:01:16 PM,71.060,39.411,
78,01/09/23 01:01:17 PM,71.060,39.281,
79,01/09/23 01:01:18 PM,71.060,39.215,
80,01/09/23 01:01:19 PM,71.060,39.215,
81,01/09/23 01:01:20 PM,71.060,39.248,
82,01/09/23 01:01:21 PM,71.060,39.183,
83,01/09/23 01:01:22 PM,71.017,39.082,
84,01/09/23 01:01:23 PM,71.017,38.984,
85,01/09/23 01:01:24 PM,71.017,38.952,
86,01/09/23 01:01:25 PM,71.017,38.887,
87,01/09/23 01:01:26 PM,71.017,38.887,
88,01/09/23 01:01:27 PM,71.017,38.887,
89,01/09/23 01:01:28 PM,71.017,38.887,
90,01/09/23 01:01:29 PM,71.060,38.889,
91,01/09/23 01:01:30 PM,71.017,38.887,
92,01/09/23 01:01:31 PM,71.017,38.919,
93,01/09/23 01:01:32 PM,71.060,38.987,
94,01/09/23 01:01:33 PM,71.017,39.082,
95,01/09/23 01:01:34 PM,71.017,39.017,
96,01/09/23 01:01:35 PM,71.017,38.952,
97,01/09/23 01:01:36 PM,71.017,38.952,
98,01/09/23 01:01:37 PM,71.017,39.017,
99,01/09/23 01:01:38 PM,71.017,39.082,
100,01/09/23 01:01:39 PM,71.017,39.115,
101,01/09/23 01:01:40 PM,71.017,39.148,
102,01/09/23 01:01:41 PM,71.017,39.180,
103,01/09/23 01:01:42 PM,71.017,39.213,
104,01/09/23 01:01:43 PM,71.017,39.180,
105,01/09/23 01:01:44 PM,71.017,39.082,
106,01/09/23 01:01:45 PM,71.017,39.017,
107,01/09/23 01:01:46 PM,71.017,38.952,
108,01/09/23 01:01:47 PM,71.017,38.887,
109,01/09/23 01:01:48 PM,71.017,38.821,
110,01/09/23 01:01:49 PM,71.017,38.723,
111,01/09/23 01:01:50 PM,71.017,38.658,
112,01/09/23 01:01:51 PM,71.017,38.625,
113,01/09/23 01:01:52 PM,71.017,38.527,
114,01/09/23 01:01:53 PM,71.017,38.495,
115,01/09/23 01:01:54 PM,71.017,38.495,
116,01/09/23 01:01:55 PM,70.974,38.492,
117,01/09/23 01:01:56 PM,71.017,38.495,
118,01/09/23 01:01:57 PM,71.017,38.495,
119,01/09/23 01:01:58 PM,71.017,38.429,
120,01/09/23 01:01:59 PM,70.974,38.361,
121,01/09/23 01:02:00 PM,71.017,38.266,
122,01/09/23 01:02:01 PM,70.974,38.198,
